"De acordo com o prefácio de 'Dying of Money', o que define o 'dinheiro verdadeiro'?",Qualquer item com valor simbólico aceito para troca que seja superior ao seu valor intrínseco de uso.
Como Jens Parsson define fundamentalmente a inflação?,Como uma doença do dinheiro que se manifesta pelo aumento persistente dos preços.
Qual é considerada por Parsson a forma mais antiga de financiamento governamental ou 'golpe político'?,"A inflação, que permite ao líder emitir moeda para adquirir riqueza real em troca."
Qual foi o resultado do Edito de Diocleciano em 301 d.C. ao tentar controlar a inflação romana?,"Um fracasso total, onde as mercadorias simplesmente deixaram de ser vendidas com a moeda desvalorizada ('nummi')."
Quais foram as duas principais inflações do século XX mencionadas como as mais influentes na história?,A inflação alemã iniciada na Primeira Guerra Mundial e a grande inflação americana iniciada na Segunda Guerra Mundial.
O que caracterizou o início da inflação alemã no verão de 1914?,O abandono do padrão-ouro e o início do financiamento de déficits através de empréstimos e emissão de papel-moeda.
Qual proporção dos gastos de guerra da Alemanha foi coberta por impostos entre 1914 e 1918?,Apenas cerca de um oitavo das despesas totais.
"Por que a inflação de preços na Alemanha foi moderada durante a Primeira Guerra Mundial, apesar do aumento da base monetária?","O governo conseguia gastar o dinheiro mais rápido do que seu valor caía, criando a ilusão de uma guerra gratuita."
O que diferenciou a política econômica da Alemanha das outras nações (como os EUA) em 1920 e 1921?,"A Alemanha continuou a inflar e sustentar um boom artificial, enquanto os outros aceitaram uma recessão para estabilizar os preços."
O que aconteceu com a oferta monetária da Alemanha durante o período de 15 meses de 'preços estáveis' em 1920-1921?,"A oferta de dinheiro dobrou, acumulando uma pressão inflacionária invisível na superfície."
Como o boom inflacionário afetou a eficiência do trabalho individual na Alemanha?,Houve uma desmoralização progressiva e um declínio mensurável no esforço e na qualidade da produção.
O que Jens Parsson define como 'emprego espúrio' durante o boom alemão?,"Atividades em perseguições improdutivas, como o excesso de burocracia, paperwork e cadeias de intermediários inúteis."
